entity,label,index
Mini,I-MISC,19347
##mum,I-MISC,19347
Data,I-MISC,19347
##set,I-MISC,19347
N,B-ORG,19347
##MD,I-ORG,19347
##S,I-ORG,19347
UK,B-LOC,19348
To,B-MISC,19349
T,B-MISC,19349
P,B-MISC,19349
CA,B-ORG,19352
##B,I-ORG,19352
##G,I-ORG,19352
EC,B-MISC,19353
##MO,I-MISC,19353
CO,B-MISC,19354
Greek,B-MISC,19355
Orthodox,I-MISC,19355
Christians,I-MISC,19355
Mediterranean,B-MISC,19355
BP,B-ORG,19355
16,B-MISC,19357
Cities,I-MISC,19357
Study,I-MISC,19357
16,B-MISC,19357
Cities,I-MISC,19357
Study,I-MISC,19357
CT,B-ORG,19361
CT,B-MISC,19361
IP,B-MISC,19362
CD,B-MISC,19362
CD,B-MISC,19362
D,B-MISC,19363
D,B-MISC,19363
AR,B-MISC,19365
MR,B-MISC,19367
AM,B-MISC,19367
MR,B-MISC,19367
C,B-MISC,19367
Social,B-MISC,19369
An,I-MISC,19369
##xi,I-MISC,19369
##ety,I-MISC,19369
Di,I-MISC,19369
##sor,I-MISC,19369
##der,I-MISC,19369
Major,B-MISC,19369
De,I-MISC,19369
##pressive,I-MISC,19369
Di,I-MISC,19369
##der,I-MISC,19369
D,B-ORG,19370
##MS,I-ORG,19370
##A,I-ORG,19370
D,B-MISC,19370
U,B-MISC,19370
##TI,I-ORG,19370
D,B-MISC,19370
AG,B-MISC,19371
AG,B-MISC,19371
FF,B-MISC,19372
FF,B-MISC,19372
I,B-ORG,19373
##B,I-ORG,19373
##D,I-ORG,19373
R,B-MISC,19378
SSR,B-MISC,19378
R,B-ORG,19378
SSR,B-MISC,19378
R,B-MISC,19378
I,B-ORG,19379
AD,B-MISC,19381
C,B-MISC,19382
I,B-MISC,19382
##CH,I-MISC,19382
##D,I-MISC,19382
-,I-MISC,19382
II,I-MISC,19382
AA,B-MISC,19383
AA,B-MISC,19383
Nigerian,B-MISC,19384
D,B-MISC,19385
T,B-PER,19386
##hr,B-PER,19386
T,B-ORG,19386
##iro,B-MISC,19386
##fi,I-ORG,19386
##ban,I-ORG,19386
Re,B-ORG,19386
##o,I-ORG,19386
##P,I-ORG,19386
##ro,I-ORG,19386
G,B-MISC,19386
SV,B-MISC,19386
Lithuania,B-LOC,19387
WHO,B-ORG,19388
S,B-PER,19390
##zle,B-PER,19390
Martin,B-PER,19390
Canadian,B-MISC,19391
EA,B-MISC,19392
BA,B-ORG,19392
BA,B-ORG,19392
EA,B-MISC,19392
##C,I-MISC,19392
W,B-PER,19394
##hip,B-PER,19394
##ple,B-PER,19394
AC,B-MISC,19395
##HD,I-MISC,19395
GE,B-MISC,19395
##M,I-MISC,19395
P,B-MISC,19395
EC,B-MISC,19396
DR,B-MISC,19396
EC,B-MISC,19396
T,B-MISC,19397
AP,B-MISC,19397
New,B-ORG,19398
York,I-ORG,19398
Heart,I-ORG,19398
Association,I-ORG,19398
HD,B-MISC,19400
HD,B-MISC,19400
SC,B-MISC,19401
M,B-MISC,19401
##MP,I-MISC,19401
MS,B-MISC,19402
HIV,B-MISC,19402
HIV,B-MISC,19402
ST,B-MISC,19402
HIV,B-MISC,19402
Germany,B-LOC,19402
HIV,B-MISC,19402
ST,B-MISC,19402
IF,B-MISC,19404
United,B-LOC,19405
States,I-LOC,19405
TD,B-MISC,19406
F,B-ORG,19406
##onda,I-ORG,19406
##zione,I-ORG,19406
Cass,I-ORG,19406
##a,I-ORG,19406
di,I-ORG,19406
R,I-ORG,19406
##is,I-ORG,19406
##par,I-ORG,19406
##mio,I-ORG,19406
di,I-ORG,19406
Fe,I-ORG,19406
##rra,I-ORG,19406
##ra,I-ORG,19406
Dutch,B-MISC,19410
The,B-ORG,19410
Journal,I-ORG,19410
Cochrane,B-MISC,19410
The,B-ORG,19410
Journal,I-ORG,19410
Cochrane,B-MISC,19410
Do,B-MISC,19411
2D,B-MISC,19411
Do,B-MISC,19411
3D,B-MISC,19411
Do,B-MISC,19411
2D,B-MISC,19411
Do,B-MISC,19411
E,B-MISC,19412
DS,B-MISC,19413
##M,I-MISC,19413
-,I-MISC,19413
IV,I-MISC,19413
CBC,B-ORG,19414
Beijing,B-LOC,19415
Beijing,B-LOC,19415
AD,B-MISC,19415
Beck,B-MISC,19417
Hope,I-MISC,19417
##lessness,I-MISC,19417
Scale,I-MISC,19417
B,B-ORG,19417
##HS,I-ORG,19417
AIDS,B-MISC,19418
L,B-ORG,19418
ID,B-ORG,19418
##U,I-ORG,19418
H,B-MISC,19418
UC,B-ORG,19419
M,B-MISC,19419
MA,B-MISC,19420
He,B-MISC,19420
MA,B-MISC,19420
IL,B-MISC,19420
MA,B-MISC,19420
H,B-MISC,19420
CD,B-ORG,19421
##S,I-ORG,19421
e,B-MISC,19427
VC,B-MISC,19427
Alzheimer,B-MISC,19428
F,B-MISC,19428
AD,B-MISC,19428
F,B-MISC,19428
AD,B-MISC,19428
Sentinel,B-ORG,19433
SL,B-MISC,19433
SL,B-MISC,19433
Ontario,B-LOC,19435
New,B-LOC,19436
Zealand,I-LOC,19436
New,B-LOC,19436
Zealand,I-LOC,19436
New,B-LOC,19437
Zealand,I-LOC,19437
Cancer,B-ORG,19437
Centre,I-ORG,19437
##s,I-ORG,19437
NZ,B-ORG,19437
##CR,I-ORG,19437
NZ,B-ORG,19437
##CR,I-ORG,19437
Post,B-MISC,19439
trans,B-MISC,19441
##ora,B-MISC,19441
Do,I-MISC,19441
T,B-ORG,19441
##T,B-ORG,19441
##DE,I-ORG,19441
L,B-MISC,19442
CP,B-MISC,19442
##B,I-MISC,19442
CP,B-MISC,19442
##B,I-MISC,19442
CP,B-MISC,19442
##B,I-MISC,19442
African,B-MISC,19444
Swedish,B-MISC,19444
Swedish,B-MISC,19444
PP,B-MISC,19446
PP,B-MISC,19446
African,B-MISC,19447
Americans,I-MISC,19447
African,B-MISC,19447
Americans,I-MISC,19447
O,B-MISC,19451
CO,B-MISC,19452
CO,B-MISC,19452
SPD,B-ORG,19453
CD,B-ORG,19453
SPD,B-MISC,19453
Korean,B-MISC,19454
Korean,B-MISC,19454
Caucasian,B-MISC,19454
Hispanic,B-MISC,19454
African,B-MISC,19454
American,I-MISC,19454
Korean,B-MISC,19460
A,B-MISC,19460
Korean,B-MISC,19460
LP,B-MISC,19464
LP,B-MISC,19464
LP,B-MISC,19464
AC,B-MISC,19467
AAA,B-MISC,19467
AC,B-MISC,19467
AC,B-MISC,19467
AAA,B-MISC,19467
CO,B-MISC,19468
CO,B-MISC,19468
K,I-MISC,19469
P,B-MISC,19474
##ne,B-MISC,19474
P,B-MISC,19474
##ne,B-MISC,19474
P,B-MISC,19474
##ne,B-MISC,19474
H,B-MISC,19476
##titis,B-MISC,19477
C,I-MISC,19477
HIV,B-MISC,19477
L,B-MISC,19483
L,B-MISC,19483
Lam,B-MISC,19484
EC,B-MISC,19487
H,B-ORG,19488
AC,B-MISC,19488
##E,I-MISC,19488
B,B-MISC,19490
Australians,B-MISC,19490
AC,B-MISC,19491
##E,I-MISC,19491
AC,B-MISC,19491
##E,I-MISC,19491
CC,B-MISC,19495
CC,B-MISC,19495
CC,B-MISC,19495
EC,B-ORG,19496
##C,I-ORG,19496
CA,B-ORG,19496
##B,I-ORG,19496
EC,B-ORG,19496
##C,I-ORG,19496
MD,B-MISC,19497
MD,B-MISC,19497
MD,B-MISC,19497
##K,I-MISC,19497
MD,B-MISC,19497
MD,B-MISC,19497
MD,B-MISC,19497
MD,B-MISC,19497
##K,I-MISC,19497
MD,B-MISC,19497
C,B-MISC,19497
##aco,I-MISC,19497
C,B-MISC,19497
##aco,I-MISC,19497
2,I-MISC,19497
MD,B-MISC,19497
##K,I-MISC,19497
MD,B-MISC,19497
##R,I-MISC,19497
MD,B-MISC,19498
MR,B-MISC,19498
MD,B-MISC,19498
##K,I-MISC,19498
MR,B-MISC,19498
MR,B-MISC,19498
C,B-MISC,19498
MD,B-MISC,19498
MD,B-MISC,19498
MR,B-MISC,19498
MR,B-MISC,19498
C,B-MISC,19498
MD,B-MISC,19498
MR,B-MISC,19498
C,B-MISC,19498
MD,B-MISC,19498
##K,I-MISC,19498
SC,B-MISC,19501
SC,B-MISC,19501
CS,B-MISC,19502
K,B-MISC,19503
KC,B-MISC,19503
KC,B-MISC,19503
KC,B-MISC,19503
KC,B-MISC,19503
Hans,B-PER,19504
Joachim,B-PER,19504
Haas,I-PER,19504
M,B-MISC,19504
##H,I-MISC,19504
Haas,B-PER,19504
M,B-MISC,19504
##H,I-MISC,19504
Haas,B-PER,19504
M,B-MISC,19504
##H,I-MISC,19504
M,B-MISC,19504
M,B-MISC,19504
##H,I-MISC,19504
Test,B-MISC,19505
of,I-MISC,19505
Visual,I-MISC,19505
Per,I-MISC,19505
##ce,I-MISC,19505
##pt,I-MISC,19505
##ual,I-MISC,19505
Skills,I-MISC,19505
Stanford,B-MISC,19505
Achievement,I-MISC,19505
Test,I-MISC,19505
St,B-MISC,19508
##re,I-MISC,19508
##oc,I-MISC,19508
GB,B-MISC,19508
CS,B-MISC,19509
##E,I-MISC,19509
L,B-ORG,19510
##Y,I-ORG,19510
##G,I-ORG,19510
L,B-ORG,19510
##G,I-ORG,19510
H,B-MISC,19511
Em,B-ORG,19513
CT,B-MISC,19513
V,B-MISC,19514
##F,I-MISC,19514
14,I-MISC,19514
V,B-MISC,19514
##F,I-MISC,19514
-,I-MISC,19514
14,I-MISC,19514
V,B-MISC,19514
##F,I-MISC,19514
-,I-MISC,19514
14,I-MISC,19514
V,B-MISC,19514
##F,I-MISC,19514
-,I-MISC,19514
11,I-MISC,19514
V,B-MISC,19514
##F,I-MISC,19514
-,I-MISC,19514
14,I-MISC,19514
Veterans,B-ORG,19515
Affairs,I-ORG,19515
Department,B-ORG,19515
of,I-ORG,19515
Defense,I-ORG,19515
VA,B-ORG,19515
Department,B-ORG,19515
of,I-ORG,19515
Defense,I-ORG,19515
VA,B-ORG,19515
VA,B-ORG,19515
Gulf,B-MISC,19515
War,I-MISC,19515
E,B-MISC,19516
##os,B-MISC,19516
##ino,I-MISC,19516
P,B-PER,19522
##ey,B-PER,19522
##ron,B-PER,19522
P,B-PER,19522
##ey,B-PER,19522
##ron,B-PER,19522
L,B-ORG,19523
L,B-ORG,19523
L,B-ORG,19523
Ni,B-MISC,19524
##ssen,I-MISC,19524
Odd,B-PER,19527
Odd,B-PER,19527
ET,B-MISC,19528
1,I-MISC,19528
ET,B-MISC,19528
1,I-MISC,19528
I,B-MISC,19532
S,B-MISC,19532
I,B-MISC,19532
S,B-MISC,19532
I,B-MISC,19532
I,B-MISC,19532
AM,B-MISC,19534
UK,B-LOC,19539
UK,B-LOC,19539
GE,B-MISC,19541
VA,B-ORG,19541
GE,B-MISC,19541
GE,B-MISC,19541
GE,B-MISC,19541
VA,B-ORG,19541
T,B-MISC,19545
I,B-LOC,19547
##CU,I-LOC,19547
I,B-LOC,19547
##CU,I-LOC,19547
Trip,B-MISC,19548
CC,B-MISC,19548
IV,B-MISC,19548
T,B-MISC,19549
United,B-LOC,19554
Kingdom,I-LOC,19554
G,B-MISC,19558
D,B-MISC,19558
MR,B-MISC,19558
Star,B-MISC,19559
Star,B-MISC,19559
E,B-MISC,19561
American,B-ORG,19566
Fe,I-ORG,19566
##rt,I-ORG,19566
##ility,I-ORG,19566
Society,I-ORG,19566
North,B-LOC,19567
Carolina,I-LOC,19567
UV,B-MISC,19567
T,B-MISC,19569
Am,B-MISC,19571
##nis,I-MISC,19571
Am,B-MISC,19571
##nis,I-MISC,19571
Am,B-MISC,19571
##nis,I-MISC,19571
##®,I-MISC,19571
DS,B-MISC,19572
##M,I-MISC,19572
-,I-MISC,19572
V,I-MISC,19572
Bo,B-MISC,19574
##tu,B-MISC,19574
National,B-MISC,19575
Health,I-MISC,19575
Survey,I-MISC,19575
Australia,B-LOC,19575
NHS,B-ORG,19575
Australia,B-LOC,19575
NHS,B-ORG,19575
Depression,B-MISC,19577
An,I-MISC,19577
##xi,I-MISC,19577
##ety,I-MISC,19577
St,I-MISC,19577
##ress,I-MISC,19577
Scale,I-MISC,19577
D,B-MISC,19577
##AS,I-MISC,19577
##S,I-MISC,19577
-,I-MISC,19577
D,B-MISC,19577
##AS,I-MISC,19577
##S,I-MISC,19577
B,B-MISC,19578
##rief,B-MISC,19578
P,I-MISC,19578
##sy,I-MISC,19578
##chia,I-MISC,19578
##tric,I-MISC,19578
Rat,I-MISC,19578
##ing,I-MISC,19578
Scale,I-MISC,19578
Clinical,B-MISC,19578
Global,I-MISC,19578
I,I-MISC,19578
##mp,I-MISC,19578
##ression,I-MISC,19578
Sc,B-MISC,19578
##zophrenia,I-MISC,19578
BP,B-MISC,19578
BP,B-MISC,19578
O,B-MISC,19579
Kenya,B-LOC,19580
Sino,B-MISC,19580
Kenya,B-LOC,19580
Sino,B-MISC,19580
D,B-MISC,19581
D,B-MISC,19581
D,B-MISC,19581
American,B-ORG,19582
T,I-ORG,19582
##hy,I-ORG,19582
##roid,I-ORG,19582
Association,I-ORG,19582
AT,B-ORG,19582
##A,I-ORG,19582
ME,B-MISC,19582
AT,B-ORG,19582
##A,I-ORG,19582
R,B-MISC,19582
M,B-MISC,19582
C,B-PER,19587
##hn,I-PER,19587
Chi,B-PER,19588
##ari,I-MISC,19588
C,B-MISC,19588
da,B-PER,19589
Vinci,B-PER,19589
L,B-ORG,19590
T,B-ORG,19591
##HA,I-MISC,19591
U,B-MISC,19591
U,B-MISC,19591
B,B-MISC,19595
B,B-MISC,19595
B,B-MISC,19595
B,B-MISC,19595
B,B-MISC,19595
F,B-ORG,19596
##HA,I-ORG,19596
F,B-ORG,19596
##HA,I-ORG,19596
O,B-MISC,19597
##ive,I-MISC,19597
Co,I-MISC,19597
##mp,I-MISC,19597
##sive,I-MISC,19597
Dr,I-MISC,19597
##ink,I-MISC,19597
##ing,I-MISC,19597
Scale,I-MISC,19597
CP,B-MISC,19598
##B,I-MISC,19598
I,B-ORG,19598
##CU,I-LOC,19598
E,B-ORG,19599
C,I-MISC,19601
C,I-MISC,19601
C,I-MISC,19601
D,B-ORG,19602
##MP,I-ORG,19602
D,B-ORG,19602
##MP,I-ORG,19602
##A,I-ORG,19602
I,B-ORG,19604
DC,B-MISC,19606
DC,B-ORG,19606
N,B-MISC,19606
##T,I-MISC,19606
N,B-MISC,19606
##T,I-MISC,19606
Mo,B-MISC,19607
##od,B-MISC,19607
Di,I-MISC,19607
##sor,I-MISC,19607
##der,I-MISC,19607
Question,I-MISC,19607
##naire,I-MISC,19607
MD,B-ORG,19607
BS,B-MISC,19607
##D,I-MISC,19607
S,B-MISC,19607
PP,B-MISC,19608
PP,B-MISC,19608
C,B-MISC,19608
C,B-MISC,19608
G,B-MISC,19611
Western,B-MISC,19613
H,B-MISC,19615
E,B-ORG,19617
ST,B-MISC,19617
##Z,I-MISC,19617
AG,B-ORG,19617
N,B-MISC,19619
PS,B-MISC,19621
##AD,I-MISC,19621
PS,B-MISC,19621
##AD,I-MISC,19621
PS,B-MISC,19621
##AD,I-MISC,19621
C,B-MISC,19622
C,I-MISC,19624
HC,B-MISC,19624
C,I-MISC,19624
C,I-MISC,19624
MR,B-ORG,19626
SL,B-MISC,19626
S,B-ORG,19627
MR,B-MISC,19627
##SA,I-MISC,19627
S,B-ORG,19627
L,I-ORG,19627
I,B-LOC,19628
##CU,I-LOC,19628
I,B-LOC,19628
##CU,I-LOC,19628
S,B-MISC,19632
##pear,I-LOC,19632
##head,I-MISC,19632
non,B-MISC,19632
S,B-MISC,19632
##pear,B-LOC,19632
##head,I-MISC,19632
S,B-LOC,19632
##pear,I-LOC,19632
##head,I-LOC,19632
non,B-MISC,19632
S,B-MISC,19632
##pear,B-LOC,19632
##head,I-MISC,19632
Sweden,B-LOC,19634
Israel,B-LOC,19635
T,B-ORG,19640
MR,B-MISC,19641
MR,B-MISC,19641
VC,B-MISC,19641
VC,B-MISC,19641
V,B-ORG,19642
##B,I-ORG,19642
V,B-ORG,19642
Dane,B-MISC,19643
E,I-MISC,19645
E,B-MISC,19645
E,B-ORG,19646
CE,B-MISC,19646
SL,B-ORG,19647
##F,I-ORG,19647
MS,B-MISC,19648
L,B-ORG,19648
##MCA,I-MISC,19648
S,B-ORG,19649
##GA,I-ORG,19649
F,B-PER,19650
##lex,B-PER,19650
F,B-MISC,19650
##lex,I-MISC,19650
##ner,I-MISC,19650
Report,I-MISC,19650
F,B-PER,19650
##lex,B-PER,19650
BA,B-MISC,19656
P,B-MISC,19657
##eu,B-MISC,19657
##tz,B-MISC,19657
Je,B-MISC,19657
P,B-ORG,19657
AB,B-MISC,19658
I,B-ORG,19658
L,B-MISC,19658
D,B-MISC,19660
L,B-ORG,19660
##TS,I-ORG,19660
##A,I-ORG,19660
D,B-ORG,19660
##P,I-ORG,19660
L,B-ORG,19660
##TS,I-ORG,19660
##A,I-ORG,19660
CE,B-ORG,19661
##TP,I-ORG,19661
V,B-MISC,19661
SC,B-MISC,19663
International,B-MISC,19665
Classification,I-MISC,19665
of,I-MISC,19665
Disease,I-MISC,19665
I,B-MISC,19665
##CD,I-MISC,19665
-,I-MISC,19665
9,I-MISC,19665
I,B-MISC,19665
##CD,I-MISC,19665
-,I-MISC,19665
9,I-MISC,19665
C,B-ORG,19669
##aja,I-ORG,19669
ICC,B-ORG,19669
C,B-ORG,19669
##aja,I-ORG,19669
GT,B-MISC,19671
GT,B-MISC,19671
P,B-MISC,19673
S,B-MISC,19673
S,B-MISC,19673
S,B-MISC,19675
T,B-ORG,19676
T,B-MISC,19678
##KA,I-MISC,19678
T,B-MISC,19678
##KA,I-MISC,19678
T,B-MISC,19678
##KA,I-MISC,19678
T,B-MISC,19678
##KA,I-MISC,19678
T,B-MISC,19678
##KA,I-MISC,19678
MR,B-MISC,19679
Australian,B-MISC,19680
C,B-MISC,19681
O,B-MISC,19683
##es,B-MISC,19683
##op,B-MISC,19683
O,B-MISC,19683
Taiwanese,B-MISC,19684
MR,B-MISC,19684
V,B-MISC,19686
I,I-MISC,19687
T,B-MISC,19687
MV,B-MISC,19687
MV,B-MISC,19687
MV,B-MISC,19687
MV,B-MISC,19687
T,B-MISC,19687
MR,B-MISC,19692
AD,B-MISC,19692
H,B-MISC,19693
U,B-MISC,19695
U,B-MISC,19695
Us,B-PER,19696
##her,I-MISC,19696
Us,B-MISC,19696
##her,I-MISC,19696
Us,B-MISC,19696
##her,I-MISC,19696
Us,B-PER,19696
##her,I-MISC,19696
Do,B-PER,19698
V,B-MISC,19699
O,B-MISC,19699
V,B-MISC,19699
El,B-ORG,19699
Tor,I-MISC,19699
O,B-MISC,19699
El,B-ORG,19699
Tor,I-MISC,19699
O,B-MISC,19699
P,B-ORG,19704
Taiwan,B-LOC,19705
I,B-MISC,19707
##MR,B-MISC,19707
V,B-MISC,19709
##LS,B-MISC,19709
L,B-MISC,19711
American,B-MISC,19712
Joint,I-ORG,19712
Committee,I-ORG,19712
on,I-MISC,19712
Cancer,I-MISC,19712
PS,B-ORG,19712
G,B-PER,19712
##lea,B-PER,19712
CT,B-MISC,19713
E,B-ORG,19713
E,B-ORG,19713
Hey,B-PER,19718
##de,I-PER,19718
Wallace,B-PER,19719
Tom,B-MISC,19719
##cat,I-MISC,19719
I,B-MISC,19719
##UI,I-MISC,19719
Ki,B-MISC,19720
Ki,B-MISC,19720
CS,B-MISC,19720
Ki,B-MISC,19720
R,B-MISC,19720
R,B-MISC,19720
H,B-MISC,19722
H,B-MISC,19722
MR,B-MISC,19724
MR,B-MISC,19724
MR,B-MISC,19724
Co,B-MISC,19725
##ck,I-MISC,19725
##croft,I-MISC,19725
G,B-PER,19725
##ault,I-MISC,19725
C,I-MISC,19725
CO,B-MISC,19728
R,B-MISC,19728
CO,B-MISC,19728
CO,B-MISC,19728
La,B-MISC,19730
##os,I-MISC,19730
MI,B-MISC,19731
O,B-ORG,19732
Brazil,B-LOC,19734
CT,B-MISC,19738
MR,B-MISC,19738
##A,I-MISC,19738
DS,B-MISC,19738
##A,I-MISC,19738
FM,B-MISC,19738
IT,B-MISC,19739
TV,B-ORG,19742
##T,I-ORG,19742
I,B-ORG,19743
##CU,I-LOC,19743
HIV,B-MISC,19745
CIA,B-MISC,19746
CIA,B-MISC,19746
##P,I-MISC,19746
Child,B-MISC,19749
Protection,I-MISC,19749
Register,I-MISC,19749
CP,B-ORG,19749
A,B-ORG,19749
&,I-ORG,19749
E,I-ORG,19749
N,B-MISC,19749
N,B-MISC,19749
I,B-MISC,19751
##A,I-MISC,19751
##1,I-MISC,19751
I,B-MISC,19751
##A,I-MISC,19751
I,B-MISC,19751
##A,I-MISC,19751
I,B-MISC,19751
##A,I-MISC,19751
F,B-ORG,19751
D,B-MISC,19752
T,B-MISC,19753
IL,B-MISC,19753
MC,B-MISC,19753
HIV,B-MISC,19754
HIV,B-MISC,19754
HIV,B-MISC,19754
Africa,B-LOC,19756
R,B-MISC,19761
BP,B-MISC,19761
L,I-MISC,19762
West,B-LOC,19763
Africa,I-LOC,19763
P,B-MISC,19763
West,B-LOC,19763
Africa,I-LOC,19763
P,B-MISC,19763
RC,B-MISC,19765
East,B-MISC,19765
Asian,I-MISC,19765
MI,B-MISC,19768
CA,B-MISC,19768
L,B-MISC,19771
##RT,I-MISC,19771
BP,B-ORG,19772
Italian,B-MISC,19774
Italy,B-LOC,19774
P,B-MISC,19775
P,B-MISC,19775
Am,B-MISC,19777
##ED,I-MISC,19777
Am,B-MISC,19777
##ED,I-MISC,19777
Am,B-MISC,19777
##ED,I-MISC,19777
La,B-MISC,19778
GE,B-MISC,19778
##RD,I-MISC,19778
D,I-MISC,19779
I,B-MISC,19779
v,B-ORG,19789
Lac,B-ORG,19789
Lac,B-ORG,19789
v,B-ORG,19789
Lac,B-ORG,19789
PC,B-ORG,19790
DC,B-MISC,19791
C,B-ORG,19792
##K,I-ORG,19792
##D,I-ORG,19792
CP,B-MISC,19797
SD,B-MISC,19797
CP,B-MISC,19797
AD,B-MISC,19797
##HD,I-MISC,19797
CP,B-MISC,19797
S,B-MISC,19798
Mediterranean,B-MISC,19798
T,B-MISC,19798
Ka,B-PER,19800
AIDS,B-MISC,19800
K,B-MISC,19800
K,B-MISC,19800
K,B-MISC,19800
S,B-MISC,19801
P,B-MISC,19801
S,B-MISC,19801
A,B-MISC,19802
##cute,B-MISC,19802
Sur,I-MISC,19802
##gical,I-MISC,19802
Model,I-MISC,19802
AS,B-MISC,19802
G,B-MISC,19802
N,B-MISC,19802
G,B-MISC,19802
UK,B-MISC,19802
Australian,B-MISC,19802
Fr,B-MISC,19803
##ail,B-MISC,19803
##ty,I-MISC,19803
Index,I-MISC,19803
G,B-MISC,19803
##ron,I-MISC,19803
##ingen,I-MISC,19803
Fr,I-MISC,19803
##ail,I-MISC,19803
##ty,I-MISC,19803
In,I-MISC,19803
##dic,I-MISC,19803
##ator,I-MISC,19803
F,B-MISC,19803
G,B-ORG,19803
##FI,I-ORG,19803
F,B-MISC,19803
G,B-ORG,19803
##FI,I-ORG,19803
F,B-MISC,19803
E,B-MISC,19806
R,B-ORG,19806
R,B-ORG,19806
CC,B-ORG,19810
I,B-MISC,19815
##MR,I-MISC,19815
PS,B-ORG,19815
##E,I-ORG,19815
L,B-MISC,19816
D,B-MISC,19816
OS,B-MISC,19816
US,B-MISC,19818
SF,B-MISC,19818
-,I-MISC,19818
36,I-MISC,19818
US,B-LOC,19818
I,B-MISC,19819
##CF,I-MISC,19819
Set,I-MISC,19819
RA,B-ORG,19819
RA,B-ORG,19819
Beth,B-ORG,19821
##es,I-LOC,19821
##da,I-LOC,19821
III,I-MISC,19821
US,B-LOC,19821
Beth,B-ORG,19821
##es,I-LOC,19821
##da,I-ORG,19821
III,I-MISC,19821
US,B-LOC,19821
Me,B-MISC,19823
##dic,I-MISC,19823
##are,I-MISC,19823
CT,B-MISC,19824
CT,B-MISC,19825
CT,B-MISC,19825
Ho,B-LOC,19825
##uns,I-LOC,19825
##field,I-LOC,19825
UC,B-ORG,19826
##AS,I-ORG,19826
Con,B-MISC,19827
##ital,I-MISC,19827
Di,I-MISC,19827
##aph,I-MISC,19827
##matic,I-MISC,19827
Her,I-MISC,19827
##nia,I-MISC,19827
CD,B-MISC,19827
CD,B-MISC,19828
CD,B-ORG,19828
##H,I-ORG,19828
S,B-MISC,19828
##HL,I-MISC,19828
US,B-LOC,19829
US,B-LOC,19829
PS,B-MISC,19830
I,B-MISC,19830
ER,B-MISC,19830
UC,B-ORG,19830
I,B-MISC,19830
PS,B-MISC,19830
Australia,B-LOC,19832
Australia,B-LOC,19832
England,B-LOC,19833
CA,B-MISC,19833
England,B-LOC,19833
CA,B-MISC,19833
NAS,B-MISC,19834
NAS,B-ORG,19834
##H,I-ORG,19834
L,B-MISC,19834
NAS,B-ORG,19834
##H,I-ORG,19834
L,B-MISC,19834
T,B-ORG,19835
E,B-MISC,19835
La,B-MISC,19841
L,B-ORG,19843
L,B-ORG,19843
E,B-MISC,19844
CD,B-ORG,19845
##I,I-ORG,19845
CT,B-MISC,19846
Iran,B-LOC,19848
Afghanistan,B-LOC,19848
PT,B-MISC,19848
West,B-MISC,19850
West,B-MISC,19850
North,B-MISC,19852
American,I-MISC,19852
Sentinel,B-ORG,19853
SL,B-MISC,19853
CP,B-MISC,19853
CP,B-MISC,19853
SL,B-MISC,19853
CP,B-MISC,19853
SL,B-MISC,19853
SL,B-MISC,19853
N,B-MISC,19854
OS,B-ORG,19855
##CC,I-ORG,19855
CH,B-MISC,19858
E,B-ORG,19859
##OC,I-ORG,19859
E,B-ORG,19859
Tom,B-MISC,19860
##ey,I-MISC,19860
T,I-MISC,19860
##G,I-MISC,19860
1000,I-MISC,19860
I,B-MISC,19861
##G,I-MISC,19861
I,B-MISC,19861
¹,B-MISC,19862
AS,B-MISC,19862
E,I-MISC,19863
I,B-MISC,19863
-,I-MISC,19863
131,I-MISC,19863
Vita,B-MISC,19863
E,I-MISC,19863
¹,B-MISC,19863
G,B-PER,19864
##lea,B-PER,19864
G,B-MISC,19864
R,B-MISC,19864
Asian,B-MISC,19864
East,B-MISC,19865
Asian,I-MISC,19865
H,B-MISC,19865
World,B-ORG,19866
Federation,I-ORG,19866
of,I-ORG,19866
N,I-ORG,19866
##eur,I-ORG,19866
##os,I-ORG,19866
##urger,I-ORG,19866
##y,I-ORG,19866
W,B-ORG,19866
##NS,I-ORG,19866
India,B-LOC,19867
Indian,B-MISC,19867
I,B-MISC,19868
T,B-MISC,19869
PD,B-MISC,19872
Hong,B-LOC,19873
Kong,I-LOC,19873
Australian,B-MISC,19875
Mac,B-MISC,19875
##ro,I-MISC,19875
##zam,I-MISC,19875
Z,B-MISC,19875
##amia,I-MISC,19875
Mac,B-LOC,19875
##ro,I-MISC,19875
##zam,I-MISC,19875
HD,B-MISC,19878
HD,B-MISC,19878
P,B-ORG,19880
ST,B-ORG,19880
ST,B-MISC,19880
P,B-MISC,19880
E,B-MISC,19885
Ba,B-PER,19886
BS,B-ORG,19886
##G,I-ORG,19886
BS,B-MISC,19886
Re,B-ORG,19887
##habilitation,I-ORG,19887
Ph,I-ORG,19887
##iot,I-ORG,19887
C,B-MISC,19889
##K,I-MISC,19889
##D,I-MISC,19889
HD,B-MISC,19889
HD,B-MISC,19889
C,B-MISC,19889
##K,I-MISC,19889
##D,I-MISC,19889
L,B-ORG,19890
SC,B-MISC,19892
E,B-MISC,19896
##HL,I-MISC,19896
IV,B-ORG,19897
IL,B-MISC,19898
##6,I-MISC,19898
IL,B-MISC,19898
##6,I-MISC,19898
F,B-MISC,19900
US,B-LOC,19900
V,B-MISC,19901
Zambia,B-LOC,19902
HIV,B-MISC,19902
Zambia,B-LOC,19902
Hispanic,B-MISC,19904
United,B-LOC,19904
